symbol,timestamp,open,high,low,close,volume,trade_count,vwap
QQQ,2022-02-07 05:00:00+00:00,358.62,366.81,345.8,347.06,397239922.0,3522618.0,358.238475
QQQ,2022-02-14 05:00:00+00:00,346.49,357.0896,339.14,341.51,340343302.0,2935534.0,348.867682
QQQ,2022-02-21 05:00:00+00:00,338.49,345.98,318.26,345.77,385843090.0,3313284.0,335.789065
QQQ,2022-02-28 05:00:00+00:00,342.51,350.04,334.92,337.3,368116813.0,3821201.0,342.948216
QQQ,2022-03-07 05:00:00+00:00,337.29,338.48,319.94,324.4,410017970.0,4241889.0,328.95545
QQQ,2022-03-14 04:00:00+00:00,323.13,351.79,317.45,351.49,420654277.0,3819735.0,333.518991
QQQ,2022-03-21 04:00:00+00:00,350.2,360.67,345.575,359.35,321916955.0,2792793.0,354.170055
QQQ,2022-03-28 04:00:00+00:00,359.34,371.83,358.07,361.85,319041940.0,2866438.0,365.25424
QQQ,2022-04-04 04:00:00+00:00,362.71,369.31,348.5,349.15,326378472.0,3204196.0,356.625904
QQQ,2022-04-11 04:00:00+00:00,344.81,347.69,338.035,338.43,276965783.0,2427166.0,342.85085
QQQ,2022-04-18 04:00:00+00:00,337.35,347.87,324.96,325.4,342232271.0,3035106.0,338.259287
QQQ,2022-04-25 04:00:00+00:00,323.73,329.9,312.6,313.25,513794784.0,4334031.0,321.579939
QQQ,2022-05-02 04:00:00+00:00,312.83,330.29,305.105,309.25,607897793.0,5522853.0,315.277704
QQQ,2022-05-09 04:00:00+00:00,303.48,309.3487,284.94,301.94,587167676.0,5052462.0,297.447667
QQQ,2022-05-16 04:00:00+00:00,300.15,306.56,280.21,288.68,375744581.0,3121281.0,294.239884
QQQ,2022-05-23 04:00:00+00:00,289.75,309.25,282.25,309.1,334231359.0,2434480.0,293.790663
QQQ,2022-05-30 04:00:00+00:00,309.07,314.56,303.4001,306.2,248078527.0,1852885.0,308.282465
QQQ,2022-06-06 04:00:00+00:00,310.75,312.35,288.384,288.84,279895478.0,2083159.0,302.275222
QQQ,2022-06-13 04:00:00+00:00,279.75,286.83,269.28,274.69,414863895.0,3012930.0,276.686434
QQQ,2022-06-20 04:00:00+00:00,278.75,295.04,277.91,294.61,236793192.0,1571312.0,284.699672
